Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
345,Marcos Llorente,es ESP,MFDF,es Atlético Madrid,27-257,1995,2.4,0,1,0,0.0,0.42,0.00,0.00,,21.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,02c15616
346,Hugo Lloris,fr FRA,GK,eng Tottenham,35-292,1986,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f62b6ee
347,Danny Loader,eng ENG,MF,pt Porto,22-047,2000,0.5,0,3,2,66.7,5.87,3.91,0.00,0.00,13.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,e9fda01d
348,Stanislav Lobotka,sk SVK,MF,it Napoli,27-323,1994,3.9,0,1,0,0.0,0.26,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,e1cbb531
349,Manuel Locatelli,it ITA,MF,it Juventus,24-279,1998,0.5,0,5,1,20.0,9.37,1.87,0.00,0.00,25.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,a8a874f1
350,Ruben Loftus-Cheek,eng ENG,MF,eng Chelsea,26-264,1996,1.6,0,1,0,0.0,0.62,0.00,0.00,,17.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,e97fd090
351,Pau López,es ESP,GK,fr Marseille,27-305,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,20b9f052
352,Hirving Lozano,mx MEX,FWMF,it Napoli,27-076,1995,2.2,1,8,3,37.5,3.60,1.35,0.13,0.33,16.2,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Matches,a69e4806
353,Florentino Luís,pt POR,MF,pt Benfica,23-056,1999,3.8,0,3,0,0.0,0.78,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,881cd6be
354,John Lundstram,eng ENG,MFDF,sct Rangers,28-238,1994,4.0,0,1,0,0.0,0.25,0.00,0.00,,6.0,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches,0df2b165
355,Andriy Lunin,ua UKR,GK,es Real Madrid,23-245,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3061e1ec
356,Daizen Maeda,jp JPN,FW,sct Celtic,24-359,1997,2.7,0,6,1,16.7,2.22,0.37,0.00,0.00,9.3,0,0,0,1.6,1.6,0.26,-1.6,-1.6,Matches,395451fc
357,Riyad Mahrez,dz ALG,FWMF,eng Manchester City,31-235,1991,2.1,1,2,1,50.0,0.94,0.47,0.00,0.00,31.4,0,1,2,1.7,0.1,0.06,-0.7,-0.1,Matches,892d5bb1
358,Mike Maignan,fr FRA,GK,it Milan,27-103,1995,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fcb38f57
359,Donyell Malen,nl NED,MFFW,de Dortmund,23-268,1999,1.4,0,5,2,40.0,3.57,1.43,0.00,0.00,18.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,864163f3
360,Reinildo Mandava,mz MOZ,DF,es Atlético Madrid,28-266,1994,3.7,0,1,0,0.0,0.27,0.00,0.00,,19.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,c20bdcd7
361,Sadio Mané,sn SEN,FW,de Bayern Munich,30-187,1992,3.8,2,9,6,66.7,2.39,1.59,0.22,0.33,15.1,0,0,0,1.4,1.4,0.15,+0.6,+0.6,Matches,c691bfe2
362,Marcão,br BRA,DF,es Sevilla,26-131,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,133faa84
363,José María Giménez,uy URU,DF,es Atlético Madrid,27-267,1995,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,14.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,f0da930c
364,Mariano,do DOM,FW,es Real Madrid,29-074,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5c4dc0ff
