Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
442,Óscar Valentín,es ESP,MF,Rayo Vallecano,28-056,1994,6.2,0,6,0,0.0,0.97,0.00,0.00,,19.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,592f3158
443,Valery,es ESP,DFFW,Girona,22-326,1999,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4acd733a
444,Enrique Valiente,es ESP,DF,Sevilla,20-175,2002,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0a69de7b
445,Martin Valjent,sk SVK,DF,Mallorca,26-308,1995,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f2c6ac01
446,Manu Vallejo,es ESP,FWMF,Girona,25-243,1997,1.3,0,1,1,100.0,0.76,0.76,0.00,0.00,14.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,0bc4e720
447,Federico Valverde,uy URU,FWMF,Real Madrid,24-085,1998,6.4,3,17,8,47.1,2.67,1.26,0.18,0.38,25.0,0,0,0,0.8,0.8,0.05,+2.2,+2.2,Matches,0959c2a2
448,Jesus Vazquez,es ESP,DF,Valencia,19-286,2003,1.5,0,2,0,0.0,1.35,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,106c142c
449,Lucas Vázquez,es ESP,DF,Real Madrid,31-106,1991,2.9,1,5,2,40.0,1.74,0.70,0.20,0.50,22.5,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches,fd51b456
450,Gabriel Veiga,es ESP,MF,Celta Vigo,20-141,2002,3.3,2,7,2,28.6,2.10,0.60,0.29,1.00,20.3,0,0,0,0.4,0.4,0.05,+1.6,+1.6,Matches,35a6e5c7
451,Unai Vencedor Paris,es ESP,MF,Athletic Club,21-334,2000,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4112ace5
452,Gonzalo Verdú,es ESP,DF,Elche,33-359,1988,1.1,0,1,0,0.0,0.87,0.00,0.00,,22.2,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,1c2c55fc
453,Mikel Vesga,es ESP,MF,Athletic Club,29-147,1993,4.7,2,7,1,14.3,1.48,0.21,0.14,1.00,25.3,0,1,1,1.1,0.3,0.05,+0.9,+0.7,Matches,b0fce72c
454,Aleix Vidal,es ESP,FWDF,Espanyol,33-055,1989,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,04965583
455,Nacho Vidal,es ESP,DF,Osasuna,27-264,1995,5.6,0,2,0,0.0,0.36,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,3a9c4b7b
456,Toni Villa,es ESP,FWMF,Girona,27-281,1995,0.7,0,3,1,33.3,4.22,1.41,0.00,0.00,23.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,636eae97
457,Toni Villa,es ESP,MF,Valladolid,27-281,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,636eae97
458,Asier Villalibre,es ESP,FW,Athletic Club,25-015,1997,0.8,0,3,1,33.3,3.97,1.32,0.00,0.00,9.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,57be54ec
459,Daniel Vivian,es ESP,DF,Athletic Club,23-102,1999,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,6.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,ab7bf91d
460,Shon Weissman,il ISR,FW,Valladolid,26-243,1996,2.7,1,8,5,62.5,2.91,1.82,0.13,0.20,11.3,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches,379dc075
461,Iñaki Williams,gh GHA,FW,Athletic Club,28-122,1994,7.1,3,23,7,30.4,3.22,0.98,0.13,0.43,14.9,0,0,1,3.7,2.9,0.13,-0.7,+0.1,Matches,6a99e0b1
462,Nico Williams,es ESP,FW,Athletic Club,20-095,2002,6.3,3,15,8,53.3,2.39,1.27,0.20,0.38,15.7,0,0,0,1.8,1.8,0.12,+1.2,+1.2,Matches,afdc14d7
463,Axel Witsel,be BEL,DFMF,Atlético Madrid,33-276,1989,7.8,0,2,0,0.0,0.26,0.00,0.00,,21.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,5dfc6ad5
464,Jawad El Yamiq,ma MAR,DF,Valladolid,30-228,1992,1.4,0,2,0,0.0,1.44,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,f6f6b6e8
465,Joseba Zaldúa,es ESP,DF,Cádiz,30-113,1992,6.2,0,1,0,0.0,0.16,0.00,0.00,,30.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,5ca20b7a
466,Oier Zarraga,es ESP,MF,Athletic Club,23-284,1999,1.2,0,5,1,20.0,4.25,0.85,0.00,0.00,24.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,968a1c2f
467,Igor Zubeldia,es ESP,DF,Real Sociedad,25-199,1997,4.5,0,1,0,0.0,0.22,0.00,0.00,,27.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,5c7845f6
468,Martín Zubimendi,es ESP,MF,Real Sociedad,23-255,1999,8.0,1,4,1,25.0,0.50,0.12,0.25,1.00,18.3,0,0,0,0.7,0.7,0.18,+0.3,+0.3,Matches,3ee0dd59
