Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
375,Daniele Rugani,it ITA,DF,Juventus,28-078,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,14b8fcdf
376,Matteo Ruggeri,it ITA,DF,Atalanta,20-096,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ae9898c5
377,Mário Rui,pt POR,DF,Napoli,31-141,1991,7.4,0,2,1,50.0,0.27,0.13,0.00,0.00,25.2,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,0b5a292a
378,Abdelhamid Sabiri,ma MAR,MF,Sampdoria,25-321,1996,8.5,1,21,6,28.6,2.47,0.71,0.05,0.17,24.6,5,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches,4830e0af
379,Alexis Saelemaekers,be BEL,FW,Milan,23-110,1999,2.7,0,8,2,25.0,2.91,0.73,0.00,0.00,20.0,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,ee251371
380,Jacopo Sala,it ITA,MF,Spezia,30-314,1991,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,da5a981b
381,Lazar Samardzic,de GER,MF,Udinese,20-233,2002,2.7,2,8,4,50.0,3.00,1.50,0.25,0.50,22.4,1,0,0,0.4,0.4,0.05,+1.6,+1.6,Matches,217c93a1
382,Junior Sambia,fr FRA,DFMF,Salernitana,26-038,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,24eb7ed6
383,Antonio Sanabria,py PAR,FW,Torino,26-225,1996,6.7,2,16,5,31.3,2.40,0.75,0.13,0.40,12.1,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Matches,0a447501
384,Leandro Sanca,pt POR,FWDF,Spezia,22-284,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4295f19c
385,Alex Sandro,br BRA,DF,Juventus,31-262,1991,5.4,0,3,0,0.0,0.55,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,0d82903c
386,Nicola Sansone,it ITA,FW,Bologna,31-035,1991,2.6,0,10,2,20.0,3.88,0.78,0.00,0.00,21.2,1,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches,7eb97a8e
387,Riccardo Saponara,it ITA,FW,Fiorentina,30-298,1991,3.5,0,8,3,37.5,2.32,0.87,0.00,0.00,21.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,3bb7af3b
388,Martin Satriano,uy URU,FW,Empoli,21-237,2001,5.6,1,15,3,20.0,2.70,0.54,0.07,0.33,16.5,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matches,86383d0e
389,Giorgio Scalvini,it ITA,DFMF,Atalanta,18-308,2003,3.1,1,3,3,100.0,0.97,0.97,0.33,0.33,13.8,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches,1e9aa637
390,Jerdy Schouten,nl NED,MF,Bologna,25-276,1997,8.4,0,2,0,0.0,0.24,0.00,0.00,,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2cfae697
391,Perr Schuurs,nl NED,DF,Torino,22-323,1999,3.8,0,1,0,0.0,0.27,0.00,0.00,,11.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,e613313c
392,Demba Seck,sn SEN,FWMF,Torino,21-247,2001,2.3,0,5,2,40.0,2.15,0.86,0.00,0.00,17.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,16463a79
393,Jacopo Segre,it ITA,DF,Torino,25-240,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3cb132e6
394,Stefano Sensi,it ITA,MF,Monza,27-071,1995,7.0,2,8,4,50.0,1.15,0.57,0.25,0.50,24.6,1,0,0,0.4,0.4,0.04,+1.6,+1.6,Matches,b70bde8f
395,Luigi Sepe,it ITA,GK,Salernitana,31-160,1991,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,343f753a
396,Leonardo Sernicola,it ITA,DF,Cremonese,25-077,1997,4.7,1,5,1,20.0,1.06,0.21,0.20,1.00,14.7,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches,dd7febd8
397,Stephan El Shaarawy,it ITA,MFFW,Roma,29-353,1992,1.3,0,5,3,60.0,3.78,2.27,0.00,0.00,17.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,d3aaad90
398,Eldor Shomurodov,uz UZB,FW,Roma,27-108,1995,0.4,0,3,1,33.3,6.75,2.25,0.00,0.00,17.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,57469b2d
399,Marco Silvestri,it ITA,GK,Udinese,31-227,1991,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0d422df7
400,Giovanni Simeone,ar ARG,FW,Napoli,27-102,1995,1.5,2,2,2,100.0,1.37,1.37,1.00,1.00,7.1,0,0,0,0.2,0.2,0.11,+1.8,+1.8,Matches,343c0d52
401,Wilfried Singo,ci CIV,DF,Torino,21-294,2000,4.6,0,7,0,0.0,1.52,0.00,0.00,,10.8,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches,8b609c34
402,Leo Skiri Østigård,no NOR,DF,Napoli,22-321,1999,1.1,0,1,0,0.0,0.91,0.00,0.00,,41.2,0,0,0,0.0,0.0,0.00,0.0,0.0,Matches,b35a7399
403,Łukasz Skorupski,pl POL,GK,Bologna,31-163,1991,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ab4449d6
404,Milan Škriniar,sk SVK,DF,Inter,27-246,1995,8.3,0,5,1,20.0,0.60,0.12,0.00,0.00,11.2,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,30f5ffa9
405,Chris Smalling,eng ENG,DF,Roma,32-327,1989,8.7,3,7,3,42.9,0.80,0.34,0.43,1.00,6.7,0,0,0,0.6,0.6,0.09,+2.4,+2.4,Matches,b6964eb6
406,Brandon Soppy,fr FRA,DF,Atalanta,20-236,2002,3.7,0,5,1,20.0,1.36,0.27,0.00,0.00,20.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,28f66c2e
407,Brandon Soppy,fr FRA,DF,Udinese,20-236,2002,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,18.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,28f66c2e
408,Roberto Soriano,it ITA,MF,Bologna,31-249,1991,5.2,0,3,1,33.3,0.58,0.19,0.00,0.00,10.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,9d4c45d6
409,Joaquin Sosa,uy URU,DF,Bologna,20-278,2002,1.0,0,1,0,0.0,1.00,0.00,0.00,,35.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,50841bef
410,Riccardo Sottil,it ITA,FW,Fiorentina,23-134,1999,4.8,0,12,7,58.3,2.50,1.46,0.00,0.00,20.5,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,94816803
411,Matìas Soulé,ar ARG,MFFW,Juventus,19-183,2003,0.4,0,1,0,0.0,2.43,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,c13ddd3e
