Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
264,Karim Onisiwo,at AUT,FW,Mainz 05,30-212,1992,8.7,3,24,9,37.5,2.75,1.03,0.13,0.33,16.6,0,0,0,1.9,1.9,0.08,+1.1,+1.1,Matches,f26834c7
265,Willi Orban,hu HUN,DF,RB Leipzig,29-346,1992,9.0,2,8,4,50.0,0.89,0.44,0.25,0.50,8.4,0,0,0,0.7,0.7,0.09,+1.3,+1.3,Matches,20030c06
266,Ivan Ordets,ua UKR,DF,Bochum,30-099,1992,6.0,0,3,0,0.0,0.50,0.00,0.00,,10.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,86c75897
267,Jordi Osei-Tutu,eng ENG,DFFW,Bochum,24-013,1998,3.2,0,5,2,40.0,1.58,0.63,0.00,0.00,22.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,0a16eb36
268,Patrick Osterhage,de GER,MFDF,Bochum,22-256,2000,3.0,0,1,0,0.0,0.33,0.00,0.00,,22.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,9662c9ec
269,Paulo Otávio,br BRA,DF,Wolfsburg,27-326,1994,6.6,0,6,1,16.7,0.91,0.15,0.00,0.00,26.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,1cbe4984
270,Thomas Ouwejan,nl NED,DF,Schalke 04,26-015,1996,6.8,0,4,1,25.0,0.58,0.15,0.00,0.00,24.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,36d9dabe
271,Salih Özcan,tr TUR,MF,Dortmund,24-277,1998,5.1,0,1,0,0.0,0.20,0.00,0.00,,8.1,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches,15413fa5
272,Levin Öztunalı,de GER,MF,Union Berlin,26-214,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,66385c46
273,Exequiel Palacios,ar ARG,MF,Leverkusen,24-010,1998,3.9,1,5,2,40.0,1.27,0.51,0.20,0.50,23.9,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches,e82adcab
274,Miloš Pantović,rs SRB,MF,Union Berlin,26-100,1996,0.7,0,3,1,33.3,4.15,1.38,0.00,0.00,14.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches,5dc15574
275,Kevin Paredes,us USA,FWDF,Wolfsburg,19-161,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5c50fdbc
276,Paulinho,br BRA,FWMF,Leverkusen,22-092,2000,0.3,1,1,1,100.0,3.21,3.21,1.00,1.00,11.4,0,0,0,0.2,0.2,0.22,+0.8,+0.8,Matches,53070b63
277,Benjamin Pavard,fr FRA,DF,Bayern Munich,26-201,1996,6.6,1,12,4,33.3,1.81,0.60,0.08,0.25,20.8,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,45a03961
278,Jiří Pavlenka,cz CZE,GK,Werder Bremen,30-184,1992,8.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0a1cb833
279,Kristian Pedersen,dk DEN,DF,Köln,28-072,1994,0.8,0,1,0,0.0,1.18,0.00,0.00,,3.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,5154b2ba
280,Mads Pedersen,dk DEN,DFMF,Augsburg,26-044,1996,4.9,0,2,0,0.0,0.41,0.00,0.00,,30.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,582a5247
281,Jordan Pefok,us USA,FW,Union Berlin,26-172,1996,6.6,3,17,4,23.5,2.58,0.61,0.18,0.75,12.1,0,0,1,2.2,1.4,0.08,+0.8,+1.6,Matches,b684a484
282,Peter Pekarík,sk SVK,DF,Hertha BSC,35-350,1986,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c18d22f5
283,Luca Pellegrini,it ITA,DF,Eint Frankfurt,23-222,1999,4.2,0,10,1,10.0,2.37,0.24,0.00,0.00,31.7,2,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches,3b61c9ec
284,Ricardo Pepi,us USA,FWMF,Augsburg,19-279,2003,1.1,0,1,0,0.0,0.95,0.00,0.00,,15.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,a2b1ed42
285,Juan Perea,co COL,FWDF,Stuttgart,22-234,2000,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ff3d391c
286,Nils Petersen,de GER,FW,Freiburg,33-313,1988,1.1,0,3,0,0.0,2.62,0.00,0.00,,29.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,f93e6e94
287,Lukas Petkov,de GER,MF,Augsburg,21-348,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f503ef6e
288,Luca Pfeiffer,de GER,FW,Stuttgart,26-056,1996,1.2,0,2,0,0.0,1.67,0.00,0.00,,16.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,83e1f40e
289,Maximilian Philipp,de GER,FW,Wolfsburg,28-228,1994,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,20.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,061e8e23
290,Amos Pieper,de GER,DF,Werder Bremen,24-271,1998,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,526ea7cc
291,Marvin Plattenhardt,de GER,DF,Hertha BSC,30-262,1992,6.6,0,3,1,33.3,0.45,0.15,0.00,0.00,28.6,2,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,f7aa75bd
292,Alassane Pléa,fr FRA,FW,M'Gladbach,29-219,1993,4.6,1,9,3,33.3,1.98,0.66,0.00,0.00,19.1,0,1,1,1.9,1.1,0.12,-0.9,-1.1,Matches,bc6bd723
293,Joel Pohjanpalo,fi FIN,DF,Leverkusen,28-032,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ea003d07
294,Sebastian Polter,de GER,FW,Schalke 04,31-197,1991,4.3,1,5,3,60.0,1.16,0.70,0.20,0.33,10.7,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches,3745e8bd
