Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
304,Azor Matusiwa,nl NED,MF,Reims,24-170,1998,3.7,0,1,0,0.0,0.27,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,a17a94d6
305,Stephy Mavididi,eng ENG,FW,Montpellier,24-137,1998,1.3,0,5,0,0.0,3.75,0.00,0.00,,14.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,30144daa
306,Fernand Mayembo,cg CGO,DF,Ajaccio,26-279,1996,2.9,0,2,0,0.0,0.69,0.00,0.00,,6.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,b20cc590
307,Kylian Mbappé,fr FRA,FW,Paris S-G,23-299,1998,7.8,8,39,19,48.7,4.97,2.42,0.21,0.42,14.2,0,0,1,7.0,6.2,0.16,+1.0,+1.8,Matches,42fd9c7f
308,Chancel Mbemba,cd COD,DF,Marseille,28-068,1994,9.5,1,5,1,20.0,0.53,0.11,0.20,1.00,11.5,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches,e76cb9cc
309,Nathanael Mbuku,fr FRA,MFDF,Reims,20-213,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,46750e9c
310,Facundo Medina,ar ARG,DF,Lens,23-140,1999,10.0,0,5,1,20.0,0.50,0.10,0.00,0.00,12.4,0,0,0,0.8,0.8,0.15,-0.8,-0.8,Matches,6f5ec8bb
311,Birger Meling,no NOR,DF,Rennes,27-302,1994,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,70c52749
312,Nuno Mendes,pt POR,DF,Paris S-G,20-118,2002,6.5,1,5,4,80.0,0.77,0.62,0.20,0.25,10.9,0,0,0,0.9,0.9,0.18,+0.1,+0.1,Matches,f20e4cc9
313,Thiago Mendes,br BRA,DF,Lyon,30-214,1992,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c6e5d20f
314,Arial Mendy,sn SEN,DF,Clermont Foot,27-342,1994,2.3,0,2,0,0.0,0.87,0.00,0.00,,21.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,9f0f4b49
